Date,HKDCNY
2010-12-02,1.165893498
2010-12-03,1.164915651
2010-12-06,1.167396176
2010-12-07,1.168158905
2010-12-08,1.166086226
2010-12-09,1.168026567
2010-12-10,1.168099174
2010-12-13,1.16695673
2010-12-14,1.167720806
2010-12-15,1.168557731
2010-12-16,1.167119382
2010-12-17,1.168652791
2010-12-20,1.164971159
2010-12-21,1.167542806
2010-12-22,1.170639579
2010-12-23,1.170474041
2010-12-24,1.172157944
2010-12-27,1.173845504
2010-12-28,1.174438088
2010-12-29,1.175543807
2010-12-30,1.178939394
2010-12-31,1.178915046
2011-01-03,1.178890659
2011-01-04,1.176023613
2011-01-05,1.180015186
2011-01-06,1.173181407
2011-01-07,1.172581327
2011-01-10,1.171930565
2011-01-11,1.174873461
2011-01-12,1.177173403
2011-01-13,1.177063776
2011-01-14,1.180111118
2011-01-17,1.180784183
2011-01-18,1.181457738
2011-01-19,1.181577868
2011-01-20,1.182317925
2011-01-21,1.183196366
2011-01-24,1.184913918
2011-01-25,1.183793145
2011-01-26,1.183015772
2011-01-27,1.183274075
2011-01-28,1.183959039
2011-01-31,1.180392929
2011-02-01,1.181627918
2011-02-02,1.187644905
2011-02-03,1.187599146
2011-02-04,1.187660159
2011-02-07,1.18660061
2011-02-08,1.187774725
2011-02-09,1.181054101
2011-02-10,1.182725009
2011-02-11,1.182471896
2011-02-14,1.181717578
2011-02-15,1.183003461
2011-02-16,1.182350798
2011-02-17,1.182566439
2011-02-18,1.184281389
2011-02-21,1.184320971
2011-02-22,1.184360514
2011-02-23,1.185637578
2011-02-24,1.186199026
2011-02-25,1.185310803
2011-02-28,1.185199276
2011-03-01,1.185494673
2011-03-02,1.185231958
2011-03-03,1.18524887
2011-03-04,1.185914421
2011-03-07,1.187946292
2011-03-08,1.185600755
2011-03-09,1.187358951
2011-03-10,1.184981211
2011-03-11,1.184585197
2011-03-14,1.185916951
2011-03-15,1.186048988
2011-03-16,1.186401473
2011-03-17,1.186620629
2011-03-18,1.187398195
2011-03-21,1.188131332
2011-03-22,1.189513051
2011-03-23,1.188044091
2011-03-24,1.188426349
2011-03-25,1.188552343
2011-03-28,1.188184574
2011-03-29,1.188033537
2011-03-30,1.187391318
2011-03-31,1.187331063
2011-04-01,1.187959131
2011-04-04,1.188529479
2011-04-05,1.188484478
2011-04-06,1.187790342
2011-04-07,1.18771018
2011-04-08,1.188538638
2011-04-11,1.188143344
2011-04-12,1.188480475
2011-04-13,1.190103011
2011-04-14,1.190231205
2011-04-15,1.190088338
2011-04-18,1.191112949
2011-04-19,1.190971318
2011-04-20,1.190808226
2011-04-21,1.19638016
2011-04-22,1.1942613
2011-04-25,1.190572483
2011-04-26,1.190546959
2011-04-27,1.193174837
2011-04-28,1.195093063
2011-04-29,1.196810478
2011-05-02,1.196118299
2011-05-03,1.1957663
2011-05-04,1.196765499
2011-05-05,1.196916727
2011-05-06,1.196719291
2011-05-09,1.196806135
2011-05-10,1.197334977
2011-05-11,1.196934453
2011-05-12,1.195934509
2011-05-13,1.196177109
2011-05-16,1.195134695
2011-05-17,1.195013603
2011-05-18,1.195543527
2011-05-19,1.195273823
2011-05-20,1.197421323
2011-05-23,1.195572636
2011-05-24,1.196599477
2011-05-25,1.198413676
2011-05-26,1.199374547
2011-05-27,1.198998768
2011-05-30,1.199759456
2011-05-31,1.200521718
2011-06-01,1.200478543
2011-06-02,1.200126496
2011-06-03,1.200243842
2011-06-06,1.20053707
2011-06-07,1.200231446
2011-06-08,1.201686382
2011-06-09,1.20181602
2011-06-10,1.200999985
2011-06-13,1.200848373
2011-06-14,1.201361237
2011-06-15,1.201712434
2011-06-16,1.204336947
2011-06-17,1.204343122
2011-06-20,1.204094561
2011-06-21,1.204934261
2011-06-22,1.205220647
2011-06-23,1.204558105
2011-06-24,1.202928773
2011-06-27,1.20146571
2011-06-28,1.203156154
2011-06-29,1.20401343
2011-06-30,1.203898816
2011-07-01,1.203526955
2011-07-04,1.203395074
2011-07-05,1.203263223
2011-07-06,1.203293645
2011-07-07,1.203742943
2011-07-08,1.203774461
2011-07-11,1.204326514
2011-07-12,1.204249073
2011-07-13,1.204252029
2011-07-14,1.205945193
2011-07-15,1.20620647
2011-07-18,1.205231264
2011-07-19,1.205953799
2011-07-20,1.206422942
2011-07-21,1.207391338
2011-07-22,1.208472946
2011-07-25,1.208999224
2011-07-26,1.209482852
2011-07-27,1.209241324
2011-07-28,1.209584278
2011-07-29,1.211031697
2011-08-01,1.210905078
2011-08-02,1.210720887
2011-08-03,1.212123096
2011-08-04,1.211830312
2011-08-05,1.212170618
2011-08-08,1.213002393
2011-08-09,1.214341254
2011-08-10,1.216371626
2011-08-11,1.218862908
2011-08-12,1.219714518
2011-08-15,1.219523646
2011-08-16,1.220721427
2011-08-17,1.220178888
2011-08-18,1.220374806
2011-08-19,1.21994993
2011-08-22,1.218501969
2011-08-23,1.218757327
2011-08-24,1.220256731
2011-08-25,1.219890454
2011-08-26,1.220826809
2011-08-29,1.221520475
2011-08-30,1.2215918
2011-08-31,1.22104801
2011-09-01,1.21967655
2011-09-02,1.21992761
2011-09-05,1.219875981
2011-09-06,1.219824416
2011-09-07,1.218939631
2011-09-08,1.220873216
2011-09-09,1.220006262
2011-09-12,1.22111245
2011-09-13,1.21994685
2011-09-14,1.221029573
2011-09-15,1.219016024
2011-09-16,1.221029875
2011-09-19,1.221000877
2011-09-20,1.220499084
2011-09-21,1.220604598
2011-09-22,1.221230764
2011-09-23,1.221331622
2011-09-26,1.219116843
2011-09-27,1.218585385
2011-09-28,1.219088734
2011-09-29,1.217997624
2011-09-30,1.220445281
2011-10-03,1.221805632
2011-10-04,1.221193819
